
Time_us,Position,Speed_rad_per_s
1312008,310427,0.000000
1317009,310428,1.043512
1322009,310428,0.000000
1327009,310429,1.043721
1332009,310431,2.087442
1337009,310433,2.087442
1342009,310436,3.131163
1347009,310439,3.131163
1352009,310443,4.174884
1357009,310447,4.174884
1362009,310452,5.218605
1367009,310458,6.262325
1372009,310463,5.218605
1377009,310469,6.262325
1382009,310476,7.306046
1387009,310483,7.306046
1392009,310490,7.306046
1397009,310498,8.349768
1402009,310506,8.349768
1407009,310514,8.349768
1412009,310523,9.393488
1417009,310531,8.349768
1422010,310541,10.435122
1427011,310550,9.391609
1432011,310560,10.437209
1437011,310570,10.437209
1442011,310580,10.437209
1447011,310591,11.480930
1452011,310601,10.437209
1457011,310612,11.480930
1462011,310624,12.524651
1467011,310635,11.480930
1472011,310647,12.524651
1477011,310658,11.480930
1482011,310670,12.524651
1487011,310682,12.524651
1492011,310695,13.568372
1497011,310707,12.524651
1502011,310720,13.568372
1507011,310733,13.568372
1512011,310746,13.568372
1517011,310759,13.568372
1522011,310772,13.568372
1527011,310785,13.568372
1532011,310799,14.612093
1537011,310813,14.612093
1542011,310826,13.568372
1547011,310840,14.612093
1552011,310854,14.612093
1557011,310868,14.612093
1562011,310883,15.655814
1567011,310897,14.612093
1572011,310911,14.612093
1577011,310926,15.655814
1582011,310941,15.655814
1587011,310955,14.612093
1592011,310970,15.655814
1597011,310985,15.655814
1602011,311000,15.655814
1607011,311015,15.655814
1612011,311030,15.655814
1617011,311045,15.655814
1622011,311060,15.655814
1627011,311075,15.655814
1632011,311090,15.655814
1637011,311106,16.699535
1642011,311121,15.655814
1647011,311137,16.699535
1652011,311152,15.655814
1657011,311168,16.699535
1662011,311183,15.655814
1667011,311199,16.699535
1672011,311215,16.699535
1677011,311230,15.655814
1682011,311246,16.699535
1687011,311262,16.699535
1692011,311278,16.699535
1697011,311294,16.699535
1702011,311310,16.699535
1707011,311326,16.699535
1712011,311342,16.699535
1717011,311358,16.699535
1722011,311374,16.699535
1727011,311390,16.699535
1732011,311407,17.743256
1737011,311423,16.699535
1742012,311439,16.696196
1747013,311456,17.739706
1752013,311472,16.699535
1757013,311488,16.699535
1762013,311505,17.743256
1767013,311521,16.699535
1772013,311538,17.743256
1777013,311554,16.699535
1782013,311571,17.743256
1787013,311587,16.699535
1792013,311604,17.743256
1797013,311620,16.699535
1802013,311637,17.743256
1807013,311653,16.699535
1812013,311670,17.743256
1817013,311687,17.743256
1822013,311703,16.699535
1827013,311720,17.743256
1832013,311737,17.743256
1837013,311754,17.743256
1842013,311770,16.699535
1847013,311787,17.743256
1852013,311804,17.743256
1857013,311821,17.743256
1862013,311838,17.743256
1867013,311854,16.699535
1872013,311871,17.743256
1877013,311888,17.743256
1882013,311905,17.743256
1887013,311922,17.743256
1892013,311939,17.743256
1897013,311956,17.743256
1902013,311972,16.699535
1907013,311989,17.743256
1912013,312006,17.743256
1917013,312023,17.743256
1922013,312040,17.743256
1927013,312057,17.743256
1932013,312074,17.743256
1937013,312091,17.743256
1942013,312108,17.743256
1947013,312125,17.743256
1952013,312142,17.743256
1957013,312159,17.743256
1962013,312176,17.743256
1967013,312193,17.743256
1972013,312210,17.743256
1977013,312227,17.743256
1982013,312244,17.743256
1987013,312261,17.743256
1992013,312278,17.743256
1997013,312296,18.786976
2002013,312313,17.743256
2007013,312330,17.743256
2012013,312347,17.743256
2017013,312364,17.743256
2022013,312381,17.743256
2027013,312398,17.743256
2032013,312415,17.743256
2037013,312432,17.743256
2042013,312449,17.743256
2047013,312467,18.786976
2052013,312484,17.743256
2057013,312501,17.743256
2062013,312518,17.743256
2067013,312535,17.743256
2072013,312552,17.743256
2077013,312570,18.786976
2082013,312587,17.743256
2087013,312604,17.743256
2092013,312621,17.743256
2097013,312638,17.743256
2102013,312655,17.743256
2107013,312673,18.786976
2112013,312690,17.743256
2117013,312707,17.743256
2122013,312724,17.743256
2127013,312741,17.743256
2132013,312759,18.786976
2137013,312776,17.743256
2142013,312793,17.743256
2147013,312810,17.743256
2152013,312827,17.743256
2157013,312845,18.786976
2162013,312862,17.743256
2167013,312879,17.743256
2172013,312896,17.743256
2177013,312914,18.786976
2182013,312931,17.743256
2187013,312948,17.743256
2192013,312965,17.743256
2197013,312982,17.743256
2202013,313000,18.786976
2207013,313017,17.743256
2212013,313034,17.743256
2217013,313051,17.743256
2222013,313069,18.786976
2227013,313086,17.743256
2232013,313103,17.743256
2237013,313120,17.743256
2242013,313138,18.786976
2247013,313155,17.743256
2252013,313172,17.743256
2257013,313189,17.743256
2262013,313207,18.786976
2267013,313224,17.743256
2272013,313241,17.743256
2277013,313258,17.743256
2282013,313276,18.786976
2287013,313293,17.743256
2292013,313310,17.743256
2297013,313327,17.743256
2302013,313345,18.786976
2307013,313362,17.743256
2312013,313379,17.743256
2317013,313396,17.743256
2322013,313414,18.786976
2327013,313431,17.743256
2332013,313448,17.743256
2337013,313466,18.786976
2342013,313483,17.743256
2347013,313500,17.743256
2352013,313517,17.743256
2357013,313535,18.786976
2362013,313552,17.743256
2367013,313569,17.743256
2372013,313586,17.743256
2377013,313604,18.786976
2382013,313621,17.743256
2387013,313638,17.743256
2392013,313655,17.743256
2397013,313673,18.786976
2402013,313690,17.743256
2407013,313707,17.743256
2412013,313724,17.743256
2417013,313742,18.786976
2422013,313759,17.743256
2427013,313776,17.743256
2432013,313793,17.743256
2437013,313811,18.786976
2442013,313828,17.743256
2447013,313845,17.743256
2452013,313862,17.743256
2457013,313880,18.786976
2462013,313897,17.743256
2467013,313914,17.743256
2472013,313932,18.786976
2477013,313949,17.743256
2482013,313966,17.743256
2487013,313983,17.743256
2492013,314001,18.786976
2497013,314018,17.743256
2502013,314035,17.743256
2507013,314052,17.743256
2512013,314070,18.786976
2517013,314087,17.743256
2522013,314104,17.743256
2527013,314121,17.743256
2532013,314139,18.786976
2537013,314156,17.743256
2542013,314173,17.743256
2547013,314190,17.743256
2552013,314208,18.786976
2557013,314225,17.743256
2562013,314242,17.743256
2567013,314259,17.743256
2572013,314277,18.786976
2577013,314294,17.743256
2582013,314311,17.743256
2587013,314329,18.786976
2592013,314346,17.743256
2597013,314363,17.743256
2602013,314380,17.743256
2607013,314398,18.786976
2612013,314415,17.743256
2617013,314432,17.743256
2622013,314449,17.743256
2627013,314467,18.786976
2632013,314484,17.743256
2637013,314501,17.743256
2642013,314518,17.743256
2647013,314536,18.786976
2652013,314553,17.743256
2657013,314570,17.743256
2662013,314587,17.743256
2667013,314605,18.786976
2672013,314622,17.743256
2677013,314639,17.743256
2682013,314657,18.786976
2687013,314674,17.743256
2692013,314691,17.743256
2697013,314708,17.743256
2702013,314726,18.786976
2707013,314743,17.743256
2712013,314760,17.743256
2717013,314777,17.743256
2722013,314794,17.743256
2727013,314812,18.786976
2732013,314829,17.743256
2737013,314846,17.743256
2742013,314864,18.786976
2747013,314881,17.743256
2752013,314898,17.743256
2757013,314915,17.743256
2762013,314933,18.786976
2767013,314950,17.743256
2772013,314967,17.743256
2777013,314984,17.743256
2782013,315002,18.786976
2787013,315019,17.743256
2792013,315036,17.743256
2797013,315053,17.743256
2802013,315070,17.743256
2807013,315088,18.786976
2812013,315105,17.743256
2817013,315122,17.743256
2822013,315139,17.743256
2827013,315157,18.786976
2832013,315174,17.743256
2837013,315191,17.743256
2842013,315208,17.743256
