Time_us,Position,Speed_rad_per_s
1312008,-192772,0.000000
1317008,-192770,2.087442
1322009,-192762,8.348098
1327010,-192751,11.478634
1332010,-192736,15.655814
1337010,-192719,17.743256
1342010,-192699,20.874418
1347010,-192678,21.918139
1352010,-192655,24.005581
1357010,-192631,25.049301
1362010,-192606,26.093023
1367010,-192580,27.136744
1372010,-192553,28.180466
1377010,-192525,29.224186
1382010,-192497,29.224186
1387010,-192469,29.224186
1392010,-192440,30.267906
1397010,-192410,31.311628
1402010,-192381,30.267906
1407010,-192351,31.311628
1412010,-192321,31.311628
1417010,-192291,31.311628
1422010,-192260,32.355347
1427010,-192229,32.355347
1432010,-192198,32.355347
1437010,-192168,31.311628
1442010,-192136,33.399071
1447010,-192105,32.355347
1452010,-192074,32.355347
1457010,-192042,33.399071
1462010,-192011,32.355347
1467010,-191979,33.399071
1472010,-191948,32.355347
1477010,-191916,33.399071
1482010,-191885,32.355347
1487010,-191853,33.399071
1492010,-191821,33.399071
1497010,-191789,33.399071
1502010,-191758,32.355347
1507010,-191726,33.399071
1512010,-191694,33.399071
1517010,-191662,33.399071
1522010,-191631,32.355347
1527010,-191599,33.399071
1532010,-191567,33.399071
1537010,-191535,33.399071
1542010,-191503,33.399071
1547010,-191472,32.355347
1552010,-191440,33.399071
1557010,-191408,33.399071
1562010,-191376,33.399071
1567010,-191344,33.399071
1572010,-191313,32.355347
1577010,-191281,33.399071
1582010,-191249,33.399071
1587010,-191217,33.399071
1592010,-191185,33.399071
1597010,-191154,32.355347
1602010,-191122,33.399071
1607010,-191090,33.399071
1612010,-191058,33.399071
1617010,-191026,33.399071
1622010,-190995,32.355347
1627010,-190963,33.399071
1632010,-190931,33.399071
1637010,-190899,33.399071
1642010,-190867,33.399071
1647010,-190835,33.399071
1652010,-190804,32.355347
1657010,-190772,33.399071
1662010,-190740,33.399071
1667010,-190708,33.399071
1672010,-190676,33.399071
1677010,-190645,32.355347
1682010,-190613,33.399071
1687010,-190581,33.399071
1692010,-190549,33.399071
1697010,-190517,33.399071
1702010,-190486,32.355347
1707010,-190454,33.399071
1712010,-190422,33.399071
1717010,-190390,33.399071
1722010,-190358,33.399071
1727010,-190327,32.355347
1732010,-190295,33.399071
1737010,-190263,33.399071
1742010,-190231,33.399071
1747010,-190199,33.399071
1752010,-190168,32.355347
1757010,-190136,33.399071
1762010,-190104,33.399071
1767010,-190072,33.399071
1772010,-190040,33.399071
1777010,-190009,32.355347
1782010,-189977,33.399071
1787010,-189945,33.399071
1792010,-189913,33.399071
1797010,-189881,33.399071
1802010,-189850,32.355347
1807010,-189818,33.399071
1812010,-189786,33.399071
1817010,-189754,33.399071
1822010,-189722,33.399071
1827010,-189691,32.355347
1832010,-189659,33.399071
1837010,-189627,33.399071
1842010,-189595,33.399071
1847010,-189563,33.399071
1852010,-189532,32.355347
1857010,-189500,33.399071
1862010,-189468,33.399071
1867010,-189436,33.399071
1872010,-189404,33.399071
1877010,-189373,32.355347
1882010,-189341,33.399071
1887010,-189309,33.399071
1892010,-189277,33.399071
1897010,-189245,33.399071
1902010,-189213,33.399071
1907010,-189182,32.355347
1912010,-189150,33.399071
1917010,-189118,33.399071
1922010,-189086,33.399071
1927010,-189054,33.399071
1932010,-189023,32.355347
1937010,-188991,33.399071
1942010,-188959,33.399071
1947010,-188927,33.399071
1952010,-188895,33.399071
1957010,-188864,32.355347
1962010,-188832,33.399071
1967010,-188800,33.399071
1972010,-188768,33.399071
1977010,-188737,32.355347
1982010,-188705,33.399071
1987010,-188673,33.399071
1992010,-188641,33.399071
1997010,-188609,33.399071
2002010,-188577,33.399071
2007010,-188546,32.355347
2012010,-188514,33.399071
2017010,-188482,33.399071
2022010,-188450,33.399071
2027010,-188418,33.399071
2032010,-188387,32.355347
2037010,-188355,33.399071
2042010,-188323,33.399071
2047010,-188291,33.399071
2052010,-188259,33.399071
2057010,-188228,32.355347
2062010,-188196,33.399071
2067010,-188164,33.399071
2072010,-188132,33.399071
2077010,-188100,33.399071
2082010,-188068,33.399071
2087010,-188037,32.355347
2092010,-188005,33.399071
2097010,-187973,33.399071
2102010,-187941,33.399071
2107010,-187909,33.399071
2112010,-187878,32.355347
2117010,-187846,33.399071
2122010,-187814,33.399071
2127010,-187782,33.399071
2132010,-187750,33.399071
2137010,-187718,33.399071
2142010,-187687,32.355347
2147010,-187655,33.399071
2152010,-187623,33.399071
2157010,-187591,33.399071
2162010,-187559,33.399071
2167010,-187528,32.355347
2172010,-187496,33.399071
2177010,-187464,33.399071
2182010,-187432,33.399071
2187010,-187400,33.399071
2192010,-187368,33.399071
2197010,-187337,32.355347
2202010,-187305,33.399071
2207010,-187273,33.399071
2212010,-187241,33.399071
2217010,-187209,33.399071
2222010,-187178,32.355347
2227010,-187146,33.399071
2232010,-187114,33.399071
2237010,-187082,33.399071
2242010,-187051,32.355347
2247010,-187019,33.399071
2252010,-186987,33.399071
2257010,-186955,33.399071
2262010,-186923,33.399071
2267010,-186892,32.355347
2272010,-186860,33.399071
2277010,-186828,33.399071
2282010,-186796,33.399071
2287010,-186764,33.399071
2292010,-186733,32.355347
2297010,-186701,33.399071
2302010,-186669,33.399071
2307010,-186637,33.399071
2312010,-186605,33.399071
2317010,-186574,32.355347
2322010,-186542,33.399071
2327010,-186510,33.399071
2332010,-186478,33.399071
2337010,-186446,33.399071
2342010,-186415,32.355347
2347010,-186383,33.399071
2352010,-186351,33.399071
2357010,-186319,33.399071
2362010,-186287,33.399071
2367010,-186255,33.399071
2372010,-186224,32.355347
2377010,-186192,33.399071
2382010,-186160,33.399071
2387010,-186128,33.399071
2392010,-186096,33.399071
2397010,-186065,32.355347
2402010,-186033,33.399071
2407010,-186001,33.399071
2412010,-185969,33.399071
2417010,-185937,33.399071
2422010,-185906,32.355347
2427010,-185874,33.399071
2432010,-185842,33.399071
2437010,-185810,33.399071
2442010,-185778,33.399071
2447010,-185747,32.355347
2452010,-185715,33.399071
2457010,-185683,33.399071
2462010,-185651,33.399071
2467010,-185619,33.399071
2472010,-185588,32.355347
2477010,-185556,33.399071
2482010,-185524,33.399071
2487010,-185492,33.399071
2492010,-185460,33.399071
2497010,-185428,33.399071
2502010,-185397,32.355347
2507010,-185365,33.399071
2512010,-185333,33.399071
2517010,-185301,33.399071
2522010,-185269,33.399071
2527010,-185238,32.355347
2532010,-185206,33.399071
2537010,-185174,33.399071
2542010,-185142,33.399071
2547010,-185110,33.399071
2552010,-185078,33.399071
2557010,-185047,32.355347
2562010,-185015,33.399071
2567010,-184983,33.399071
2572010,-184951,33.399071
2577010,-184920,32.355347
2582010,-184888,33.399071
2587010,-184856,33.399071
2592010,-184824,33.399071
2597010,-184792,33.399071
2602010,-184761,32.355347
2607010,-184729,33.399071
2612010,-184697,33.399071
2617010,-184665,33.399071
2622010,-184634,32.355347
2627010,-184602,33.399071
2632010,-184570,33.399071
2637010,-184538,33.399071
2642010,-184507,32.355347
2647010,-184475,33.399071
2652010,-184443,33.399071
2657010,-184411,33.399071
2662010,-184380,32.355347
2667010,-184348,33.399071
2672010,-184316,33.399071
2677010,-184284,33.399071
2682010,-184253,32.355347
2687010,-184221,33.399071
2692010,-184189,33.399071
2697010,-184157,33.399071
2702010,-184126,32.355347
2707010,-184094,33.399071
2712010,-184062,33.399071
2717010,-184030,33.399071
2722010,-183999,32.355347
2727010,-183967,33.399071
2732010,-183935,33.399071
2737010,-183903,33.399071
2742010,-183872,32.355347
2747010,-183840,33.399071
2752010,-183808,33.399071
2757010,-183776,33.399071
2762010,-183745,32.355347
2767010,-183713,33.399071
2772010,-183681,33.399071
2777010,-183649,33.399071
2782010,-183618,32.355347
2787010,-183586,33.399071
2792010,-183554,33.399071
2797010,-183522,33.399071
2802010,-183491,32.355347
2807010,-183459,33.399071
2812010,-183427,33.399071
2817010,-183395,33.399071
2822010,-183364,32.355347
2827010,-183332,33.399071
2832010,-183300,33.399071
2837010,-183268,33.399071
2842010,-183237,32.355347
2847010,-183205,33.399071
2852010,-183173,33.399071
2857010,-183142,32.355347
2862010,-183110,33.399071
2867010,-183078,33.399071
2872010,-183046,33.399071
2877010,-183015,32.355347
2882010,-182983,33.399071
2887010,-182951,33.399071
2892010,-182919,33.399071
2897010,-182888,32.355347
2902010,-182856,33.399071
2907010,-182824,33.399071
2912010,-182792,33.399071
2917010,-182761,32.355347
2922010,-182729,33.399071
2927010,-182697,33.399071
2932010,-182665,33.399071
2937010,-182634,32.355347
2942010,-182602,33.399071
2947010,-182570,33.399071
2952010,-182538,33.399071
2957010,-182506,33.399071
2962010,-182475,32.355347
2967010,-182443,33.399071
2972010,-182411,33.399071
2977010,-182379,33.399071
2982010,-182348,32.355347
2987010,-182316,33.399071
2992010,-182284,33.399071
2997010,-182253,32.355347
3002010,-182221,33.399071
3007010,-182189,33.399071
3012010,-182157,33.399071
3017010,-182125,33.399071
3022010,-182094,32.355347
3027010,-182062,33.399071
3032010,-182030,33.399071
3037010,-181998,33.399071
3042010,-181967,32.355347
3047010,-181935,33.399071
3052010,-181903,33.399071
3057010,-181872,32.355347
3062010,-181840,33.399071
3067010,-181808,33.399071
3072010,-181776,33.399071
3077010,-181744,33.399071
3082010,-181713,32.355347
3087010,-181681,33.399071
3092010,-181649,33.399071
3097010,-181618,32.355347
3102010,-181586,33.399071
3107010,-181554,33.399071
3112010,-181522,33.399071
3117010,-181490,33.399071
3122010,-181459,32.355347
3127010,-181427,33.399071
3132010,-181395,33.399071
3137010,-181363,33.399071
3142010,-181332,32.355347
3147010,-181300,33.399071
3152010,-181268,33.399071
3157010,-181236,33.399071
3162010,-181205,32.355347
3167010,-181173,33.399071
3172010,-181141,33.399071
3177010,-181109,33.399071
3182010,-181078,32.355347
3187010,-181046,33.399071
3192010,-181014,33.399071
3197010,-180982,33.399071
3202010,-180951,32.355347
3207010,-180919,33.399071
3212010,-180887,33.399071
3217010,-180855,33.399071
3222010,-180823,33.399071
3227010,-180792,32.355347
3232010,-180760,33.399071
3237010,-180728,33.399071
3242010,-180696,33.399071
3247010,-180664,33.399071
3252010,-180633,32.355347
3257010,-180601,33.399071
3262010,-180569,33.399071
3267010,-180537,33.399071
3272010,-180506,32.355347
3277010,-180474,33.399071
3282010,-180442,33.399071
3287010,-180410,33.399071
3292010,-180379,32.355347
3297010,-180347,33.399071
3302010,-180315,33.399071
3307010,-180283,33.399071
3312010,-180252,32.355347
3317010,-180220,33.399071
3322010,-180188,33.399071
3327010,-180156,33.399071
3332010,-180125,32.355347
3337010,-180093,33.399071
3342010,-180061,33.399071
3347010,-180029,33.399071
3352010,-179997,33.399071
3357010,-179966,32.355347
3362010,-179934,33.399071
3367010,-179902,33.399071
3372010,-179871,32.355347
3377010,-179839,33.399071
3382010,-179807,33.399071
3387010,-179775,33.399071
3392010,-179744,32.355347
3397010,-179712,33.399071
3402010,-179680,33.399071
3407010,-179648,33.399071
3412010,-179617,32.355347
3417010,-179585,33.399071
3422010,-179553,33.399071
3427010,-179521,33.399071
3432010,-179490,32.355347
3437010,-179458,33.399071
3442010,-179426,33.399071
3447010,-179394,33.399071
3452010,-179363,32.355347
3457010,-179331,33.399071
3462010,-179299,33.399071
3467010,-179267,33.399071
3472010,-179236,32.355347
3477010,-179204,33.399071
3482010,-179172,33.399071
3487010,-179140,33.399071
3492010,-179109,32.355347
3497010,-179077,33.399071
3502010,-179045,33.399071
3507010,-179013,33.399071
3512010,-178982,32.355347
3517010,-178950,33.399071
3522010,-178918,33.399071
3527010,-178886,33.399071
3532010,-178855,32.355347
3537010,-178823,33.399071
3542010,-178791,33.399071
