
Time_us,Position,Speed_rad_per_s
1312008,353414,0.000000
1317008,353417,3.131163
1322009,353424,7.304585
1327010,353435,11.478634
1332010,353450,15.655814
1337010,353468,18.786976
1342010,353487,19.830698
1347010,353509,22.961861
1352010,353532,24.005581
1357010,353556,25.049301
1362010,353582,27.136744
1367010,353608,27.136744
1372010,353635,28.180466
1377010,353662,28.180466
1382010,353690,29.224186
1387010,353719,30.267906
1392010,353748,30.267906
1397010,353777,30.267906
1402010,353806,30.267906
1407010,353836,31.311628
1412010,353866,31.311628
1417010,353896,31.311628
1422010,353926,31.311628
1427010,353956,31.311628
1432010,353986,31.311628
1437010,354017,32.355347
1442010,354047,31.311628
1447010,354078,32.355347
1452010,354108,31.311628
1457010,354139,32.355347
1462010,354170,32.355347
1467010,354200,31.311628
1472010,354231,32.355347
1477010,354262,32.355347
1482010,354292,31.311628
1487010,354323,32.355347
1492010,354354,32.355347
1497010,354384,31.311628
1502010,354415,32.355347
1507010,354446,32.355347
1512010,354477,32.355347
1517010,354507,31.311628
1522010,354538,32.355347
1527010,354569,32.355347
1532010,354600,32.355347
1537010,354631,32.355347
1542010,354661,31.311628
1547010,354692,32.355347
1552010,354723,32.355347
1557010,354754,32.355347
1562010,354785,32.355347
1567010,354816,32.355347
1572010,354846,31.311628
1577010,354877,32.355347
1582010,354908,32.355347
1587010,354939,32.355347
1592010,354970,32.355347
1597010,355001,32.355347
1602010,355032,32.355347
1607010,355062,31.311628
1612010,355093,32.355347
1617010,355124,32.355347
1622010,355155,32.355347
1627010,355186,32.355347
1632010,355217,32.355347
1637010,355248,32.355347
1642010,355279,32.355347
1647010,355309,31.311628
1652010,355340,32.355347
1657010,355371,32.355347
1662010,355402,32.355347
1667010,355433,32.355347
1672010,355464,32.355347
1677010,355495,32.355347
1682010,355526,32.355347
1687010,355556,31.311628
1692010,355587,32.355347
1697010,355618,32.355347
1702010,355649,32.355347
1707010,355680,32.355347
1712010,355711,32.355347
1717010,355742,32.355347
1722010,355773,32.355347
1727010,355803,31.311628
1732010,355834,32.355347
1737010,355865,32.355347
1742010,355896,32.355347
1747010,355927,32.355347
1752010,355958,32.355347
1757010,355989,32.355347
1762010,356019,31.311628
1767010,356050,32.355347
1772010,356081,32.355347
1777010,356112,32.355347
1782010,356143,32.355347
1787010,356174,32.355347
1792010,356205,32.355347
1797010,356236,32.355347
1802010,356267,32.355347
1807010,356297,31.311628
1812010,356328,32.355347
1817010,356359,32.355347
1822010,356390,32.355347
1827010,356421,32.355347
1832010,356452,32.355347
1837010,356483,32.355347
1842010,356513,31.311628
1847010,356544,32.355347
1852010,356575,32.355347
1857010,356606,32.355347
1862010,356637,32.355347
1867010,356667,31.311628
1872010,356698,32.355347
1877010,356729,32.355347
1882010,356760,32.355347
1887010,356791,32.355347
1892010,356822,32.355347
1897010,356852,31.311628
1902010,356883,32.355347
1907010,356914,32.355347
1912010,356945,32.355347
1917010,356976,32.355347
1922010,357006,31.311628
1927010,357037,32.355347
1932010,357068,32.355347
1937010,357099,32.355347
1942010,357130,32.355347
1947010,357160,31.311628
1952010,357191,32.355347
1957010,357222,32.355347
1962010,357253,32.355347
1967010,357284,32.355347
1972010,357315,32.355347
1977010,357345,31.311628
1982010,357376,32.355347
1987010,357407,32.355347
1992010,357438,32.355347
1997010,357469,32.355347
2002010,357499,31.311628
2007010,357530,32.355347
2012010,357561,32.355347
2017010,357592,32.355347
2022010,357623,32.355347
2027010,357653,31.311628
2032010,357684,32.355347
2037010,357715,32.355347
2042010,357746,32.355347
2047010,357777,32.355347
2052010,357807,31.311628
2057010,357838,32.355347
2062010,357869,32.355347
2067010,357900,32.355347
2072010,357931,32.355347
2077010,357961,31.311628
2082010,357992,32.355347
2087010,358023,32.355347
2092010,358054,32.355347
2097010,358084,31.311628
2102010,358115,32.355347
2107010,358146,32.355347
2112010,358177,32.355347
2117010,358207,31.311628
2122010,358238,32.355347
2127010,358269,32.355347
2132010,358300,32.355347
2137010,358331,32.355347
2142010,358361,31.311628
2147010,358392,32.355347
2152010,358423,32.355347
2157010,358454,32.355347
2162010,358485,32.355347
2167010,358515,31.311628
2172010,358546,32.355347
2177010,358577,32.355347
2182010,358608,32.355347
2187010,358639,32.355347
2192010,358669,31.311628
2197010,358700,32.355347
2202010,358731,32.355347
2207010,358762,32.355347
2212010,358793,32.355347
2217010,358823,31.311628
2222010,358854,32.355347
2227010,358885,32.355347
2232010,358916,32.355347
2237010,358947,32.355347
2242010,358978,32.355347
2247010,359008,31.311628
2252010,359039,32.355347
2257010,359070,32.355347
2262010,359101,32.355347
2267010,359132,32.355347
2272010,359163,32.355347
2277010,359193,31.311628
2282010,359224,32.355347
2287010,359255,32.355347
2292010,359286,32.355347
2297010,359317,32.355347
2302010,359348,32.355347
2307010,359378,31.311628
2312010,359409,32.355347
2317010,359440,32.355347
2322010,359471,32.355347
2327010,359502,32.355347
2332010,359533,32.355347
2337010,359563,31.311628
2342010,359594,32.355347
2347010,359625,32.355347
2352010,359656,32.355347
2357010,359687,32.355347
2362010,359718,32.355347
2367010,359749,32.355347
2372010,359779,31.311628
2377010,359810,32.355347
2382010,359841,32.355347
2387010,359872,32.355347
2392010,359903,32.355347
2397010,359934,32.355347
2402010,359965,32.355347
2407010,359995,31.311628
2412010,360026,32.355347
2417010,360057,32.355347
2422010,360088,32.355347
2427010,360119,32.355347
2432010,360150,32.355347
2437010,360181,32.355347
2442010,360212,32.355347
2447010,360243,32.355347
2452010,360273,31.311628
2457010,360304,32.355347
2462010,360335,32.355347
2467010,360366,32.355347
2472010,360397,32.355347
2477010,360428,32.355347
2482010,360459,32.355347
2487010,360490,32.355347
2492010,360520,31.311628
2497010,360551,32.355347
2502010,360582,32.355347
2507010,360613,32.355347
2512010,360644,32.355347
2517010,360675,32.355347
2522010,360706,32.355347
2527010,360736,31.311628
2532010,360767,32.355347
2537010,360798,32.355347
2542010,360829,32.355347
2547010,360860,32.355347
2552010,360891,32.355347
2557010,360922,32.355347
2562010,360952,31.311628
2567010,360983,32.355347
2572010,361014,32.355347
2577010,361045,32.355347
2582010,361076,32.355347
2587010,361107,32.355347
2592010,361137,31.311628
2597010,361168,32.355347
2602010,361199,32.355347
2607010,361230,32.355347
2612010,361261,32.355347
2617010,361292,32.355347
2622010,361323,32.355347
2627010,361354,32.355347
2632010,361384,31.311628
2637010,361415,32.355347
2642010,361446,32.355347
2647010,361477,32.355347
2652010,361508,32.355347
2657010,361539,32.355347
2662010,361570,32.355347
2667010,361601,32.355347
2672010,361631,31.311628
2677010,361662,32.355347
2682010,361693,32.355347
2687010,361724,32.355347
2692010,361755,32.355347
2697010,361786,32.355347
2702010,361817,32.355347
2707010,361848,32.355347
2712010,361879,32.355347
2717010,361910,32.355347
2722010,361941,32.355347
2727010,361971,31.311628
2732010,362002,32.355347
2737010,362033,32.355347
2742010,362064,32.355347
2747010,362095,32.355347
2752010,362126,32.355347
2757010,362157,32.355347
2762010,362188,32.355347
2767010,362219,32.355347
2772010,362249,31.311628
2777010,362281,33.399071
2782010,362311,31.311628
2787010,362342,32.355347
2792010,362373,32.355347
2797010,362404,32.355347
2802010,362435,32.355347
2807010,362466,32.355347
2812010,362497,32.355347
2817010,362528,32.355347
2822010,362559,32.355347
2827010,362590,32.355347
2832010,362620,31.311628
2837010,362651,32.355347
2842010,362682,32.355347
2847010,362713,32.355347
2852010,362744,32.355347
2857010,362775,32.355347
2862010,362806,32.355347
2867010,362837,32.355347
2872010,362867,31.311628
2877010,362898,32.355347
2882010,362929,32.355347
2887010,362960,32.355347
2892010,362991,32.355347
2897010,363022,32.355347
2902010,363053,32.355347
2907010,363083,31.311628
2912010,363114,32.355347
2917010,363145,32.355347
2922010,363176,32.355347
2927010,363207,32.355347
2932010,363238,32.355347
2937010,363268,31.311628
2942010,363299,32.355347
2947010,363330,32.355347
2952010,363361,32.355347
2957010,363392,32.355347
2962010,363423,32.355347
2967010,363453,31.311628
2972010,363484,32.355347
2977010,363515,32.355347
2982010,363546,32.355347
2987010,363577,32.355347
2992010,363607,31.311628
2997010,363638,32.355347
3002010,363669,32.355347
3007010,363700,32.355347
3012010,363731,32.355347
3017010,363761,31.311628
3022010,363792,32.355347
3027010,363823,32.355347
3032010,363854,32.355347
3037010,363885,32.355347
3042010,363916,32.355347
3047010,363946,31.311628
3052010,363977,32.355347
3057010,364008,32.355347
3062010,364039,32.355347
3067010,364070,32.355347
3072010,364101,32.355347
3077010,364132,32.355347
3082010,364162,31.311628
3087010,364193,32.355347
3092010,364224,32.355347
3097010,364255,32.355347
3102010,364286,32.355347
3107010,364317,32.355347
3112010,364348,32.355347
3117010,364378,31.311628
3122010,364409,32.355347
3127010,364440,32.355347
3132010,364471,32.355347
3137010,364502,32.355347
3142010,364533,32.355347
3147010,364563,31.311628
3152010,364594,32.355347
3157010,364625,32.355347
3162010,364656,32.355347
3167010,364687,32.355347
3172010,364717,31.311628
3177010,364748,32.355347
3182010,364779,32.355347
3187010,364810,32.355347
3192010,364841,32.355347
3197010,364871,31.311628
3202010,364902,32.355347
3207010,364933,32.355347
3212010,364964,32.355347
3217010,364994,31.311628
3222010,365025,32.355347
3227010,365056,32.355347
3232010,365087,32.355347
3237010,365117,31.311628
3242010,365148,32.355347
3247010,365179,32.355347
3252010,365210,32.355347
3257010,365241,32.355347
3262010,365271,31.311628
3267010,365302,32.355347
3272010,365333,32.355347
3277010,365364,32.355347
3282010,365394,31.311628
3287010,365425,32.355347
3292010,365456,32.355347
3297010,365487,32.355347
3302010,365517,31.311628
3307010,365548,32.355347
3312010,365579,32.355347
3317010,365610,32.355347
3322010,365641,32.355347
3327010,365671,31.311628
3332010,365702,32.355347
3337010,365733,32.355347
3342010,365763,31.311628
3347010,365794,32.355347
3352010,365825,32.355347
3357010,365856,32.355347
3362010,365887,32.355347
3367010,365917,31.311628
3372010,365948,32.355347
3377010,365979,32.355347
3382010,366010,32.355347
3387010,366040,31.311628
3392010,366071,32.355347
3397010,366102,32.355347
3402010,366133,32.355347
3407010,366163,31.311628
3412010,366194,32.355347
3417010,366225,32.355347
3422010,366256,32.355347
3427010,366287,32.355347
3432010,366318,32.355347
3437010,366349,32.355347
3442010,366379,31.311628
3447010,366410,32.355347
3452010,366441,32.355347
3457010,366472,32.355347
3462010,366503,32.355347
3467010,366534,32.355347
3472010,366564,31.311628
3477010,366595,32.355347
3482010,366626,32.355347
3487010,366657,32.355347
3492010,366688,32.355347
3497010,366719,32.355347
3502010,366750,32.355347
3507010,366781,32.355347
3512010,366811,31.311628
3517010,366842,32.355347
3522010,366873,32.355347
3527010,366904,32.355347
3532010,366935,32.355347
3537010,366965,31.311628
3542010,366996,32.355347
3547010,367027,32.355347
3552010,367058,32.355347
3557010,367089,32.355347
3562010,367120,32.355347
3567010,367150,31.311628
3572010,367181,32.355347
3577010,367212,32.355347
3582010,367243,32.355347
3587010,367274,32.355347
3592010,367304,31.311628
3597010,367335,32.355347
3602010,367366,32.355347
3607010,367397,32.355347
3612010,367428,32.355347
3617010,367458,31.311628
3622010,367489,32.355347
3627010,367520,32.355347
3632010,367551,32.355347
3637010,367582,32.355347
3642010,367613,32.355347
3647010,367643,31.311628
3652010,367674,32.355347
3657010,367705,32.355347
3662010,367736,32.355347
3667010,367767,32.355347
3672010,367798,32.355347
3677010,367828,31.311628
3682010,367859,32.355347
3687010,367890,32.355347
3692010,367921,32.355347
3697010,367952,32.355347
3702010,367983,32.355347
3707010,368013,31.311628
3712010,368044,32.355347
3717010,368075,32.355347
3722010,368106,32.355347
3727010,368137,32.355347
3732010,368168,32.355347
3737010,368198,31.311628
3742010,368229,32.355347
3747010,368260,32.355347
3752010,368291,32.355347
3757010,368322,32.355347
3762010,368353,32.355347
3767010,368383,31.311628
3772010,368414,32.355347
3777010,368445,32.355347
3782010,368476,32.355347
3787010,368507,32.355347
3792010,368538,32.355347
3797010,368569,32.355347
3802010,368600,32.355347
3807010,368631,32.355347
3812010,368662,32.355347
3817010,368693,32.355347
3822010,368723,31.311628
3827010,368754,32.355347
3832010,368785,32.355347
3837010,368816,32.355347
3842010,368847,32.355347
3847010,368878,32.355347
3852010,368909,32.355347
3857010,368940,32.355347
3862010,368971,32.355347
3867010,369002,32.355347
3872010,369033,32.355347
3877010,369063,31.311628
3882010,369094,32.355347
3887010,369125,32.355347
3892010,369156,32.355347
3897010,369187,32.355347
3902010,369218,32.355347
3907010,369249,32.355347
3912010,369280,32.355347
3917010,369311,32.355347
3922010,369342,32.355347
3927010,369373,32.355347
3932010,369404,32.355347
3937010,369434,31.311628
3942010,369465,32.355347
3947010,369496,32.355347
3952010,369527,32.355347
3957010,369558,32.355347
3962010,369589,32.355347
3967010,369619,31.311628
3972010,369650,32.355347
3977010,369681,32.355347
3982010,369712,32.355347
3987010,369743,32.355347
3992010,369774,32.355347
3997010,369804,31.311628
4002010,369835,32.355347
4007010,369866,32.355347
4012010,369897,32.355347
4017010,369928,32.355347
4022010,369959,32.355347
4027010,369989,31.311628
4032010,370020,32.355347
4037010,370051,32.355347
4042010,370082,32.355347
4047010,370113,32.355347
4052010,370144,32.355347
4057010,370174,31.311628
4062010,370205,32.355347
4067010,370236,32.355347
4072010,370267,32.355347
4077010,370298,32.355347
4082010,370329,32.355347
4087010,370359,31.311628
4092010,370390,32.355347
4097010,370421,32.355347
4102010,370452,32.355347
4107010,370483,32.355347
4112010,370513,31.311628
4117010,370544,32.355347
4122010,370575,32.355347
4127010,370606,32.355347
4132010,370636,31.311628
4137010,370667,32.355347
4142010,370698,32.355347
4147010,370729,32.355347
4152010,370760,32.355347
4157010,370790,31.311628
4162010,370821,32.355347
4167010,370852,32.355347
4172010,370883,32.355347
4177010,370914,32.355347
4182010,370944,31.311628
4187010,370975,32.355347
4192010,371006,32.355347
4197010,371037,32.355347
4202010,371068,32.355347
4207010,371098,31.311628
4212010,371129,32.355347
4217010,371160,32.355347
4222010,371191,32.355347
4227010,371222,32.355347
4232010,371253,32.355347
4237010,371284,32.355347
4242010,371314,31.311628
4247010,371345,32.355347
4252010,371376,32.355347
4257010,371407,32.355347
4262010,371438,32.355347
4267010,371469,32.355347
4272010,371500,32.355347
4277010,371531,32.355347
4282010,371561,31.311628
4287010,371592,32.355347
4292010,371623,32.355347
4297010,371654,32.355347
4302010,371685,32.355347
4307010,371716,32.355347
4312010,371747,32.355347
4317010,371778,32.355347
4322010,371809,32.355347
4327010,371840,32.355347
4332010,371871,32.355347
4337010,371902,32.355347
4342010,371933,32.355347
4347010,371963,31.311628
4352010,371994,32.355347
4357010,372025,32.355347
4362010,372056,32.355347
4367010,372087,32.355347
4372010,372118,32.355347
4377010,372149,32.355347
4382010,372180,32.355347
4387010,372211,32.355347
4392010,372242,32.355347
4397010,372273,32.355347
4402010,372304,32.355347
4407010,372335,32.355347
4412010,372366,32.355347
4417010,372397,32.355347
4422010,372428,32.355347
4427010,372459,32.355347
4432010,372490,32.355347
4437010,372521,32.355347
4442010,372551,31.311628
4447010,372582,32.355347
4452010,372613,32.355347
4457010,372644,32.355347
4462010,372675,32.355347
4467010,372706,32.355347
4472010,372737,32.355347
4477010,372768,32.355347
4482010,372799,32.355347
4487010,372830,32.355347
4492010,372861,32.355347
4497010,372891,31.311628
4502010,372922,32.355347
4507010,372953,32.355347
4512010,372984,32.355347
4517010,373015,32.355347
4522010,373046,32.355347
4527010,373077,32.355347
4532010,373108,32.355347
4537010,373139,32.355347
4542010,373169,31.311628
4547010,373200,32.355347
4552010,373231,32.355347
4557010,373262,32.355347
4562010,373293,32.355347
4567010,373324,32.355347
4572010,373354,31.311628
4577010,373385,32.355347
4582010,373416,32.355347
