
Time_us,Position,Speed_rad_per_s
1312008,220177,0.000000
1317008,220176,-1.043721
1322008,220173,-3.131163
1327008,220167,-6.262325
1332008,220159,-8.349768
1337008,220149,-10.437209
1342008,220138,-11.480930
1347008,220125,-13.568372
1352008,220110,-15.655814
1357008,220095,-15.655814
1362008,220078,-17.743256
1367008,220060,-18.786976
1372008,220042,-18.786976
1377008,220022,-20.874418
1382008,220002,-20.874418
1387008,219981,-21.918139
1392008,219960,-21.918139
1397008,219938,-22.961861
1402008,219916,-22.961861
1407008,219893,-24.005581
1412008,219870,-24.005581
1417008,219846,-25.049301
1422008,219822,-25.049301
1427008,219798,-25.049301
1432008,219774,-25.049301
1437008,219749,-26.093023
1442008,219724,-26.093023
1447008,219699,-26.093023
1452008,219673,-27.136744
1457008,219648,-26.093023
1462008,219622,-27.136744
1467008,219596,-27.136744
1472008,219570,-27.136744
1477008,219544,-27.136744
1482008,219517,-28.180466
1487008,219491,-27.136744
1492008,219465,-27.136744
1497008,219438,-28.180466
1502008,219411,-28.180466
1507008,219384,-28.180466
1512008,219357,-28.180466
1517008,219330,-28.180466
1522008,219303,-28.180466
1527008,219276,-28.180466
1532008,219249,-28.180466
1537008,219222,-28.180466
1542008,219195,-28.180466
1547008,219167,-29.224186
1552008,219140,-28.180466
1557008,219113,-28.180466
1562008,219085,-29.224186
1567008,219058,-28.180466
1572008,219030,-29.224186
1577008,219003,-28.180466
1582008,218975,-29.224186
1587008,218948,-28.180466
1592008,218920,-29.224186
1597008,218893,-28.180466
1602008,218865,-29.224186
1607008,218837,-29.224186
1612008,218810,-28.180466
1617008,218782,-29.224186
1622008,218754,-29.224186
1627008,218727,-28.180466
1632008,218699,-29.224186
1637008,218671,-29.224186
1642008,218643,-29.224186
1647008,218616,-28.180466
1652008,218588,-29.224186
1657008,218560,-29.224186
1662008,218532,-29.224186
1667008,218505,-28.180466
1672008,218477,-29.224186
1677008,218449,-29.224186
1682008,218421,-29.224186
1687008,218393,-29.224186
1692008,218365,-29.224186
1697008,218338,-28.180466
1702008,218310,-29.224186
1707008,218282,-29.224186
1712008,218254,-29.224186
1717008,218226,-29.224186
1722008,218198,-29.224186
1727008,218171,-28.180466
1732008,218143,-29.224186
1737008,218115,-29.224186
1742008,218087,-29.224186
1747008,218059,-29.224186
1752008,218031,-29.224186
1757008,218003,-29.224186
1762008,217975,-29.224186
1767008,217948,-28.180466
1772008,217920,-29.224186
1777008,217892,-29.224186
1782008,217864,-29.224186
1787008,217836,-29.224186
1792008,217808,-29.224186
1797008,217780,-29.224186
1802008,217752,-29.224186
1807008,217724,-29.224186
1812008,217697,-28.180466
1817008,217669,-29.224186
1822008,217641,-29.224186
1827008,217613,-29.224186
1832008,217585,-29.224186
1837008,217557,-29.224186
1842008,217529,-29.224186
1847008,217501,-29.224186
1852008,217473,-29.224186
1857008,217445,-29.224186
1862008,217417,-29.224186
1867008,217389,-29.224186
1872008,217361,-29.224186
1877008,217334,-28.180466
1882008,217306,-29.224186
1887008,217278,-29.224186
1892008,217250,-29.224186
1897008,217222,-29.224186
1902008,217194,-29.224186
1907008,217166,-29.224186
1912008,217138,-29.224186
1917008,217110,-29.224186
1922008,217082,-29.224186
1927008,217054,-29.224186
1932008,217026,-29.224186
1937008,216998,-29.224186
1942008,216970,-29.224186
1947008,216942,-29.224186
1952008,216914,-29.224186
1957008,216886,-29.224186
1962008,216859,-28.180466
1967008,216831,-29.224186
1972008,216803,-29.224186
1977008,216775,-29.224186
1982008,216747,-29.224186
1987008,216719,-29.224186
1992008,216691,-29.224186
1997008,216663,-29.224186
2002008,216635,-29.224186
2007008,216607,-29.224186
2012008,216579,-29.224186
2017008,216551,-29.224186
2022008,216523,-29.224186
2027008,216495,-29.224186
2032008,216467,-29.224186
2037008,216439,-29.224186
2042008,216411,-29.224186
2047008,216383,-29.224186
2052008,216355,-29.224186
2057008,216327,-29.224186
2062008,216299,-29.224186
2067008,216271,-29.224186
2072008,216243,-29.224186
