
Time_us,Position,Speed_rad_per_s
1312008,100821,0.000000
1317009,100819,-2.087024
1322009,100813,-6.262325
1327009,100803,-10.437209
1332009,100791,-12.524651
1337009,100777,-14.612093
1342009,100761,-16.699535
1347009,100742,-19.830698
1352009,100723,-19.830698
1357009,100702,-21.918139
1362009,100680,-22.961861
1367009,100656,-25.049301
1372009,100633,-24.005581
1377009,100608,-26.093023
1382009,100582,-27.136744
1387009,100556,-27.136744
1392009,100530,-27.136744
1397009,100503,-28.180466
1402009,100476,-28.180466
1407009,100448,-29.224186
1412009,100420,-29.224186
1417009,100391,-30.267906
1422009,100363,-29.224186
1427009,100334,-30.267906
1432009,100305,-30.267906
1437009,100276,-30.267906
1442009,100247,-30.267906
1447009,100218,-30.267906
1452009,100189,-30.267906
1457009,100159,-31.311628
1462009,100130,-30.267906
1467009,100100,-31.311628
1472009,100071,-30.267906
1477009,100041,-31.311628
1482009,100012,-30.267906
1487009,99982,-31.311628
1492009,99952,-31.311628
1497009,99923,-30.267906
1502009,99893,-31.311628
1507009,99863,-31.311628
1512009,99834,-30.267906
1517009,99804,-31.311628
1522009,99774,-31.311628
1527009,99744,-31.311628
1532009,99715,-30.267906
1537009,99685,-31.311628
1542009,99655,-31.311628
1547009,99626,-30.267906
1552009,99596,-31.311628
1557009,99567,-30.267906
1562009,99537,-31.311628
1567009,99507,-31.311628
1572009,99478,-30.267906
1577009,99448,-31.311628
1582009,99419,-30.267906
1587009,99389,-31.311628
1592009,99359,-31.311628
1597009,99330,-30.267906
1602009,99300,-31.311628
1607009,99270,-31.311628
1612009,99240,-31.311628
1617009,99211,-30.267906
1622009,99181,-31.311628
1627009,99151,-31.311628
1632009,99122,-30.267906
1637009,99092,-31.311628
1642009,99063,-30.267906
1647009,99033,-31.311628
1652009,99004,-30.267906
1657009,98974,-31.311628
1662009,98944,-31.311628
1667009,98915,-30.267906
1672009,98885,-31.311628
1677009,98855,-31.311628
1682009,98826,-30.267906
1687009,98796,-31.311628
1692009,98766,-31.311628
1697009,98737,-30.267906
1702009,98707,-31.311628
1707009,98678,-30.267906
1712009,98648,-31.311628
1717009,98619,-30.267906
