
Time_us,Speed_rad_per_s,Control_Voltage,PWM_Command
1312002,0.000000,8.40000,253
1317003,0.872492,8.29530,232
1322003,5.236000,7.77168,158
1327003,6.981333,7.56224,142
1332003,10.472000,7.14336,116
1337003,10.472000,7.14336,116
1342003,13.090000,6.82920,99
1347003,13.962667,6.72448,95
1352003,15.708000,6.51504,89
1357003,15.708000,6.51504,89
1362003,17.453333,6.30560,82
1367003,18.326000,6.20088,79
1372003,18.326000,6.20088,79
1377003,20.071333,5.99144,74
1382003,20.944000,5.88672,72
1387003,20.944000,5.88672,72
1392003,22.689333,5.67728,69
1397003,22.689333,5.67728,69
1402003,22.689333,5.67728,69
1407003,24.434666,5.46784,66
1412003,24.434666,5.46784,66
1417003,25.307333,5.36312,65
1422003,26.180000,5.25840,63
1427003,26.180000,5.25840,63
1432003,27.052666,5.15368,62
1437003,27.925333,5.04896,60
1442003,27.925333,5.04896,60
1447003,28.798000,4.94424,58
1452003,28.798000,4.94424,58
1457003,29.670666,4.83952,57
1462003,29.670666,4.83952,57
1467003,30.543333,4.73480,55
1472003,31.416000,4.63008,54
1477003,30.543333,4.73480,55
1482003,32.288666,4.52536,52
1487003,31.416000,4.63008,54
1492003,33.161331,4.42064,51
1497003,32.288666,4.52536,52
1502003,33.161331,4.42064,51
1507003,33.161331,4.42064,51
1512003,34.034000,4.31592,50
1517003,34.034000,4.31592,50
1522003,34.034000,4.31592,50
1527003,34.906666,4.21120,49
1532003,34.034000,4.31592,50
1537003,35.779331,4.10648,48
1542003,34.906666,4.21120,49
1547003,35.779331,4.10648,48
1552003,35.779331,4.10648,48
1557003,36.652000,4.00176,48
1562003,36.652000,4.00176,48
1567003,36.652000,4.00176,48
1572003,36.652000,4.00176,48
1577003,37.524666,3.89704,47
1582003,37.524666,3.89704,47
1587003,37.524666,3.89704,47
1592003,38.397331,3.79232,47
1597003,38.397331,3.79232,47
1602003,38.397331,3.79232,47
1607003,38.397331,3.79232,47
1612003,39.270000,3.68760,46
1617003,39.270000,3.68760,46
1622003,39.270000,3.68760,46
1627003,39.270000,3.68760,46
1632003,40.142666,3.58288,45
1637003,40.142666,3.58288,45
1642003,41.015331,3.47816,45
1647003,40.142666,3.58288,45
1652003,41.015331,3.47816,45
1657003,41.015331,3.47816,45
1662003,41.015331,3.47816,45
1667003,41.888000,3.37344,44
1672003,41.015331,3.47816,45
1677003,41.888000,3.37344,44
1682003,41.888000,3.37344,44
1687003,42.760666,3.26872,43
1692003,41.888000,3.37344,44
1697003,42.760666,3.26872,43
1702003,41.888000,3.37344,44
1707003,42.760666,3.26872,43
1712003,43.633331,3.16400,43
1717003,42.760666,3.26872,43
1722003,43.633331,3.16400,43
1727003,42.760666,3.26872,43
1732003,43.633331,3.16400,43
1737003,43.633331,3.16400,43
1742003,44.506001,3.05928,42
1747003,43.633331,3.16400,43
1752003,44.506001,3.05928,42
1757003,44.506001,3.05928,42
1762003,44.506001,3.05928,42
1767003,44.506001,3.05928,42
1772003,45.378666,2.95456,42
1777003,44.506001,3.05928,42
1782003,45.378666,2.95456,42
1787003,45.378666,2.95456,42
1792003,45.378666,2.95456,42
1797003,46.251331,2.84984,41
1802003,45.378666,2.95456,42
1807003,46.251331,2.84984,41
1812003,46.251331,2.84984,41
1817003,46.251331,2.84984,41
1822003,46.251331,2.84984,41
1827003,46.251331,2.84984,41
1832003,46.251331,2.84984,41
1837003,47.124001,2.74512,40
1842003,46.251331,2.84984,41
1847003,47.124001,2.74512,40
1852003,46.251331,2.84984,41
1857003,47.124001,2.74512,40
1862003,47.124001,2.74512,40
1867003,47.996666,2.64040,40
1872003,47.124001,2.74512,40
1877003,47.124001,2.74512,40
1882003,47.996666,2.64040,40
1887003,47.124001,2.74512,40
1892003,47.996666,2.64040,40
1897003,47.996666,2.64040,40
1902003,47.996666,2.64040,40
1907003,48.869331,2.53568,39
1912003,47.996666,2.64040,40
1917003,48.869331,2.53568,39
1922003,47.996666,2.64040,40
1927003,48.869331,2.53568,39
1932003,48.869331,2.53568,39
1937003,48.869331,2.53568,39
1942003,48.869331,2.53568,39
1947003,48.869331,2.53568,39
1952003,49.742001,2.43096,38
1957003,48.869331,2.53568,39
1962003,48.869331,2.53568,39
1967003,49.742001,2.43096,38
1972003,48.869331,2.53568,39
1977003,49.742001,2.43096,38
1982003,48.869331,2.53568,39
1987003,49.742001,2.43096,38
1992003,49.742001,2.43096,38
1997003,48.869331,2.53568,39
2002003,49.742001,2.43096,38
2007003,49.742001,2.43096,38
2012003,50.614666,2.32624,38
2017003,49.742001,2.43096,38
2022003,49.742001,2.43096,38
2027003,50.614666,2.32624,38
2032003,49.742001,2.43096,38
2037003,50.614666,2.32624,38
2042003,50.614666,2.32624,38
2047003,50.614666,2.32624,38
2052003,50.614666,2.32624,38
2057003,50.614666,2.32624,38
2062003,51.487331,2.22152,37
2067003,50.614666,2.32624,38
2072003,50.614666,2.32624,38
2077003,51.487331,2.22152,37
2082003,50.614666,2.32624,38
2087003,50.614666,2.32624,38
2092003,51.487331,2.22152,37
2097003,51.487331,2.22152,37
2102003,50.614666,2.32624,38
2107003,51.487331,2.22152,37
2112003,51.487331,2.22152,37
2117003,50.614666,2.32624,38
2122003,51.487331,2.22152,37
2127003,51.487331,2.22152,37
2132003,51.487331,2.22152,37
2137003,51.487331,2.22152,37
2142003,51.487331,2.22152,37
2147003,51.487331,2.22152,37
2152003,52.360001,2.11680,37
2157003,51.487331,2.22152,37
2162003,52.360001,2.11680,37
2167003,51.487331,2.22152,37
2172003,52.360001,2.11680,37
2177003,52.360001,2.11680,37
2182003,52.360001,2.11680,37
2187003,52.360001,2.11680,37
2192003,52.360001,2.11680,37
2197003,52.360001,2.11680,37
2202003,51.487331,2.22152,37
2207003,52.360001,2.11680,37
2212003,52.360001,2.11680,37
2217003,52.360001,2.11680,37
2222003,52.360001,2.11680,37
2227003,53.232666,2.01208,36
2232003,52.360001,2.11680,37
2237003,52.360001,2.11680,37
2242003,52.360001,2.11680,37
2247003,52.360001,2.11680,37
2252003,53.232666,2.01208,36
2257003,52.360001,2.11680,37
2262003,52.360001,2.11680,37
2267003,53.232666,2.01208,36
2272003,53.232666,2.01208,36
2277003,52.360001,2.11680,37
2282003,53.232666,2.01208,36
2287003,53.232666,2.01208,36
2292003,53.232666,2.01208,36
2297003,53.232666,2.01208,36
2302003,53.232666,2.01208,36
2307003,53.232666,2.01208,36
2312003,53.232666,2.01208,36
2317003,53.232666,2.01208,36
2322003,53.232666,2.01208,36
2327003,53.232666,2.01208,36
2332003,53.232666,2.01208,36
2337003,53.232666,2.01208,36
2342003,53.232666,2.01208,36
2347003,53.232666,2.01208,36
2352003,53.232666,2.01208,36
2357003,53.232666,2.01208,36
2362003,53.232666,2.01208,36
2367003,53.232666,2.01208,36
2372003,53.232666,2.01208,36
2377003,53.232666,2.01208,36
2382003,53.232666,2.01208,36
2387003,54.105331,1.90736,35
2392003,53.232666,2.01208,36
2397003,53.232666,2.01208,36
2402003,54.105331,1.90736,35
2407003,53.232666,2.01208,36
2412003,54.105331,1.90736,35
2417003,54.105331,1.90736,35
2422003,53.232666,2.01208,36
2427003,54.105331,1.90736,35
2432003,54.105331,1.90736,35
2437003,53.232666,2.01208,36
2442003,54.105331,1.90736,35
2447003,54.105331,1.90736,35
2452003,53.232666,2.01208,36
2457003,54.105331,1.90736,35
2462003,53.232666,2.01208,36
2467003,54.105331,1.90736,35
2472003,54.105331,1.90736,35
2477003,53.232666,2.01208,36
2482003,54.105331,1.90736,35
2487003,54.105331,1.90736,35
2492003,54.105331,1.90736,35
2497003,53.232666,2.01208,36
2502003,54.105331,1.90736,35
2507003,54.105331,1.90736,35
2512003,54.105331,1.90736,35
2517003,54.978001,1.80264,35
2522003,54.105331,1.90736,35
2527003,54.105331,1.90736,35
2532003,54.105331,1.90736,35
2537003,54.978001,1.80264,35
2542003,54.105331,1.90736,35
2547003,54.105331,1.90736,35
2552003,54.105331,1.90736,35
2557003,54.978001,1.80264,35
2562003,54.105331,1.90736,35
2567003,54.105331,1.90736,35
2572003,54.105331,1.90736,35
2577003,54.978001,1.80264,35
2582003,54.105331,1.90736,35
2587003,54.105331,1.90736,35
2592003,54.105331,1.90736,35
2597003,54.978001,1.80264,35
2602003,54.105331,1.90736,35
2607003,54.105331,1.90736,35
2612003,54.978001,1.80264,35
2617003,54.105331,1.90736,35
2622003,54.978001,1.80264,35
2627003,54.978001,1.80264,35
2632003,54.105331,1.90736,35
2637003,54.978001,1.80264,35
2642003,54.978001,1.80264,35
2647003,54.978001,1.80264,35
2652003,54.978001,1.80264,35
2657003,54.978001,1.80264,35
2662003,54.978001,1.80264,35
2667003,54.105331,1.90736,35
2672003,54.978001,1.80264,35
2677003,54.978001,1.80264,35
2682003,54.978001,1.80264,35
2687003,54.978001,1.80264,35
2692003,54.105331,1.90736,35
2697003,54.978001,1.80264,35
